epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.501,3.52129,4.42064,4.15984,0.00094,0.01667,0.00056,6e-05,3.69065,4.38836,4.12536,0.000329114,0.000329114,0.000329114
2,30.3142,3.35406,4.24165,3.9073,0.00966,0.26042,0.01162,0.00343,3.84381,4.58102,3.93755,0.000655889,0.000655889,0.000655889
3,41.673,3.10145,3.91661,3.5159,0.82775,0.04688,0.04446,0.00936,3.19106,3.86725,3.43943,0.000976064,0.000976064,0.000976064
4,53.1444,2.87037,3.69003,3.25049,0.59703,0.06563,0.06157,0.0146,2.79157,4.11651,2.87945,0.0009703,0.0009703,0.0009703
5,64.5073,2.81497,3.47749,3.10691,0.57141,0.03125,0.04135,0.01133,3.03089,3.63119,2.93883,0.0009604,0.0009604,0.0009604
6,76.0181,2.68945,3.38585,3.00014,0.32384,0.14375,0.04321,0.00872,2.96125,5.34331,2.94615,0.0009505,0.0009505,0.0009505
7,87.4333,2.59582,3.24226,2.90193,0.40456,0.08125,0.08361,0.02638,2.96425,4.95574,2.97115,0.0009406,0.0009406,0.0009406
8,98.8256,2.52179,3.16746,2.83792,0.41797,0.14479,0.19264,0.0518,2.55929,3.47583,2.66939,0.0009307,0.0009307,0.0009307
9,109.85,2.45329,3.0907,2.77608,0.35023,0.14375,0.16707,0.04528,2.66017,3.84008,2.76201,0.0009208,0.0009208,0.0009208
10,121.457,2.40715,3.03444,2.72162,0.80897,0.16032,0.2761,0.09036,2.44947,3.46059,2.61332,0.0009109,0.0009109,0.0009109
11,132.783,2.34156,2.95033,2.6676,0.66455,0.18247,0.21893,0.07695,2.29419,2.73322,2.46395,0.000901,0.000901,0.000901
12,144.007,2.2831,2.86327,2.58588,0.68701,0.24339,0.2545,0.09946,2.15184,2.77973,2.31302,0.0008911,0.0008911,0.0008911
13,155.025,2.23659,2.79867,2.55183,0.19116,0.20024,0.20518,0.06878,2.26451,3.00189,2.3691,0.0008812,0.0008812,0.0008812
14,166.509,2.19865,2.71691,2.49034,0.50662,0.43646,0.34679,0.11836,2.08277,2.41789,2.23075,0.0008713,0.0008713,0.0008713
15,177.922,2.15891,2.60154,2.44122,0.51251,0.29303,0.32134,0.11807,2.14026,2.88332,2.31956,0.0008614,0.0008614,0.0008614
16,189.243,2.09301,2.58092,2.38495,0.66538,0.30312,0.23531,0.11987,2.2206,2.61516,2.34144,0.0008515,0.0008515,0.0008515
17,200.171,2.072,2.54214,2.35899,0.48698,0.40208,0.34338,0.15475,2.06426,2.34343,2.192,0.0008416,0.0008416,0.0008416
18,211.564,2.09133,2.48218,2.33157,0.1141,0.35553,0.17556,0.06172,2.36289,2.82652,2.49158,0.0008317,0.0008317,0.0008317
19,223.01,2.02658,2.43288,2.29341,0.16821,0.41875,0.30965,0.14536,1.99194,2.32878,2.17955,0.0008218,0.0008218,0.0008218
20,233.846,2.03973,2.4281,2.28912,0.29519,0.25127,0.32184,0.14663,2.19341,2.8969,2.35911,0.0008119,0.0008119,0.0008119
21,244.701,2.02286,2.37951,2.26322,0.53054,0.39045,0.40237,0.18919,2.07452,2.12804,2.12982,0.000802,0.000802,0.000802
22,255.206,1.962,2.3037,2.20207,0.49756,0.36875,0.3832,0.1914,2.00606,2.09199,2.08068,0.0007921,0.0007921,0.0007921
23,265.867,1.95515,2.2694,2.19075,0.34111,0.63542,0.51509,0.24788,1.9956,2.11155,2.09242,0.0007822,0.0007822,0.0007822
24,277.128,1.93634,2.28627,2.17418,0.31031,0.50104,0.50615,0.1899,1.98629,2.07962,2.05861,0.0007723,0.0007723,0.0007723
25,288.38,1.91705,2.23049,2.14732,0.50687,0.26875,0.27741,0.15012,2.12747,2.52483,2.15253,0.0007624,0.0007624,0.0007624
26,299.794,1.91187,2.20365,2.13854,0.42146,0.70104,0.55159,0.23421,1.80193,1.83613,1.92789,0.0007525,0.0007525,0.0007525
27,311.383,1.91946,2.19345,2.13531,0.61005,0.2875,0.36824,0.1797,1.88763,2.32656,1.96577,0.0007426,0.0007426,0.0007426
28,322.956,1.88524,2.16319,2.09831,0.43356,0.68333,0.56641,0.26704,1.79999,1.70675,1.89668,0.0007327,0.0007327,0.0007327
29,333.444,1.85745,2.15384,2.0873,0.64291,0.45,0.45311,0.20232,1.86094,2.40218,2.0242,0.0007228,0.0007228,0.0007228
30,345.171,1.83126,2.09511,2.06977,0.34474,0.58437,0.49288,0.24415,1.94565,1.75593,1.98361,0.0007129,0.0007129,0.0007129
31,355.421,1.86959,2.13173,2.0933,0.34795,0.59147,0.48226,0.23107,1.81517,1.94238,1.95508,0.000703,0.000703,0.000703
32,365.877,1.84154,2.08164,2.05765,0.37709,0.60408,0.56384,0.23837,1.91185,1.953,1.92022,0.0006931,0.0006931,0.0006931
33,377.254,1.86779,2.11262,2.07748,0.29455,0.42083,0.37897,0.14884,2.12978,2.39628,2.19083,0.0006832,0.0006832,0.0006832
34,388.68,1.79919,2.04224,2.01972,0.45049,0.45104,0.47138,0.19153,2.12872,2.60535,2.31548,0.0006733,0.0006733,0.0006733
35,399.96,1.81841,2.03813,2.03196,0.57219,0.38438,0.46046,0.24455,1.70287,1.88055,1.83493,0.0006634,0.0006634,0.0006634
36,411.335,1.79854,2.0004,2.00077,0.5883,0.40104,0.50833,0.26415,1.74554,1.83584,1.8449,0.0006535,0.0006535,0.0006535
37,422.458,1.7903,2.03423,2.01211,0.38733,0.51323,0.47995,0.23405,1.82847,1.87758,1.91356,0.0006436,0.0006436,0.0006436
38,433.664,1.79021,2.03545,2.01132,0.80653,0.33437,0.39319,0.18581,1.93851,2.15966,2.02789,0.0006337,0.0006337,0.0006337
39,444.965,1.77723,2.00523,1.98979,0.69764,0.33854,0.44387,0.22615,1.71235,1.83222,1.79827,0.0006238,0.0006238,0.0006238
40,456.359,1.76439,1.9739,1.97991,0.48353,0.48438,0.51084,0.21505,1.84586,1.91773,1.89321,0.0006139,0.0006139,0.0006139
41,467.802,1.75793,1.95439,1.97253,0.70288,0.43438,0.53599,0.28112,1.79482,1.64667,1.861,0.000604,0.000604,0.000604
42,479.1,1.73235,1.91137,1.95186,0.28779,0.53333,0.5053,0.2471,1.84778,1.82463,1.86708,0.0005941,0.0005941,0.0005941
43,490.267,1.78293,1.99706,1.98522,0.45963,0.53187,0.56217,0.24817,1.6818,1.78082,1.77605,0.0005842,0.0005842,0.0005842
44,500.946,1.7584,1.9578,1.95708,0.25152,0.51667,0.42057,0.2279,1.70458,1.73358,1.79438,0.0005743,0.0005743,0.0005743
45,511.057,1.75401,1.93923,1.96192,0.43037,0.41667,0.43701,0.22359,1.65668,1.7705,1.71755,0.0005644,0.0005644,0.0005644
46,521.777,1.75286,1.94366,1.95506,0.50964,0.56019,0.56551,0.29088,1.86283,1.72258,1.90241,0.0005545,0.0005545,0.0005545
47,532.326,1.71676,1.8763,1.92022,0.51538,0.65,0.57934,0.29119,1.72657,1.60094,1.78288,0.0005446,0.0005446,0.0005446
48,543.776,1.72889,1.88998,1.9194,0.62878,0.46979,0.55489,0.28784,1.74961,1.65256,1.79948,0.0005347,0.0005347,0.0005347
49,554.907,1.7348,1.91738,1.93261,0.46133,0.52227,0.52799,0.2527,1.64667,1.75613,1.74768,0.0005248,0.0005248,0.0005248
50,566.166,1.69815,1.87249,1.90345,0.50215,0.56667,0.6238,0.24694,1.84773,1.66692,1.89628,0.0005149,0.0005149,0.0005149
51,577.161,1.68096,1.84312,1.88978,0.56229,0.58333,0.68478,0.31178,1.65037,1.75863,1.8129,0.000505,0.000505,0.000505
52,588.088,1.71303,1.89231,1.91698,0.49092,0.59955,0.58321,0.30782,1.68871,1.6044,1.74404,0.0004951,0.0004951,0.0004951
53,599.312,1.69641,1.86168,1.91771,0.40264,0.76875,0.57327,0.28209,1.66704,1.58829,1.79163,0.0004852,0.0004852,0.0004852
54,610.551,1.69393,1.85525,1.90403,0.58117,0.52354,0.58572,0.29686,1.7971,1.63439,1.86167,0.0004753,0.0004753,0.0004753
55,621.582,1.67921,1.80671,1.87845,0.74524,0.4375,0.59276,0.31139,1.66851,1.69532,1.81933,0.0004654,0.0004654,0.0004654
56,633.005,1.69395,1.8491,1.89679,0.46169,0.55104,0.53825,0.26717,1.63134,1.72888,1.74925,0.0004555,0.0004555,0.0004555
57,644.287,1.67479,1.85025,1.90204,0.62361,0.66887,0.6974,0.36802,1.61068,1.47778,1.71882,0.0004456,0.0004456,0.0004456
58,655.594,1.67225,1.82729,1.87768,0.59146,0.49659,0.62735,0.35855,1.59945,1.52054,1.67419,0.0004357,0.0004357,0.0004357
59,666.919,1.68719,1.86892,1.89836,0.2782,0.54579,0.46076,0.23453,1.61909,1.79664,1.71636,0.0004258,0.0004258,0.0004258
60,678.104,1.66907,1.83968,1.8837,0.5422,0.58333,0.65811,0.34,1.53643,1.46611,1.62791,0.0004159,0.0004159,0.0004159
61,689.108,1.64277,1.80974,1.85597,0.48241,0.6,0.63843,0.35868,1.52559,1.48853,1.6702,0.000406,0.000406,0.000406
62,700.231,1.69087,1.8404,1.88495,0.43524,0.70234,0.61407,0.33456,1.50994,1.49665,1.58981,0.0003961,0.0003961,0.0003961
63,710.989,1.63081,1.75947,1.83558,0.48772,0.65,0.64957,0.35618,1.4566,1.6986,1.58105,0.0003862,0.0003862,0.0003862
64,721.787,1.65135,1.80167,1.86233,0.61702,0.56066,0.60968,0.31249,1.53284,1.55882,1.67076,0.0003763,0.0003763,0.0003763
65,732.432,1.6461,1.78769,1.84565,0.58482,0.6,0.59788,0.31906,1.57983,1.5043,1.73095,0.0003664,0.0003664,0.0003664
66,742.743,1.65589,1.78715,1.86009,0.59461,0.54898,0.60492,0.27337,1.81493,1.75668,1.89589,0.0003565,0.0003565,0.0003565
67,753.873,1.64957,1.78954,1.85439,0.59764,0.55057,0.61848,0.3456,1.54337,1.52109,1.67367,0.0003466,0.0003466,0.0003466
68,765.32,1.62704,1.76289,1.84318,0.62408,0.61667,0.68424,0.326,1.57933,1.44462,1.68943,0.0003367,0.0003367,0.0003367
69,776.626,1.63397,1.76102,1.83223,0.62463,0.57956,0.64737,0.36354,1.45893,1.48962,1.61493,0.0003268,0.0003268,0.0003268
70,787.957,1.65205,1.75706,1.8465,0.62926,0.6,0.65291,0.39738,1.44892,1.37875,1.59016,0.0003169,0.0003169,0.0003169
71,799.213,1.63591,1.75459,1.84066,0.55654,0.58579,0.61971,0.37566,1.45605,1.48478,1.59265,0.000307,0.000307,0.000307
72,810.457,1.61483,1.7449,1.82832,0.61662,0.59838,0.57436,0.35643,1.41737,1.45687,1.55289,0.0002971,0.0002971,0.0002971
73,821.349,1.59848,1.72338,1.80437,0.58446,0.53438,0.60927,0.37212,1.46808,1.49592,1.60949,0.0002872,0.0002872,0.0002872
74,832.79,1.6304,1.77178,1.83124,0.45488,0.77182,0.64782,0.36746,1.54581,1.56814,1.68587,0.0002773,0.0002773,0.0002773
75,844.165,1.60845,1.74437,1.82582,0.48829,0.57892,0.59594,0.31811,1.59915,1.61994,1.6942,0.0002674,0.0002674,0.0002674
76,854.912,1.59784,1.72826,1.81314,0.71103,0.58619,0.64393,0.36794,1.50064,1.5429,1.62578,0.0002575,0.0002575,0.0002575
77,865.182,1.61797,1.72305,1.81381,0.69198,0.38909,0.58885,0.35051,1.55492,1.83216,1.75379,0.0002476,0.0002476,0.0002476
78,876.277,1.59986,1.73108,1.81716,0.52223,0.71961,0.64142,0.36061,1.50354,1.4665,1.63843,0.0002377,0.0002377,0.0002377
79,887.646,1.59798,1.72806,1.80956,0.56144,0.66667,0.66228,0.38121,1.5618,1.48917,1.66425,0.0002278,0.0002278,0.0002278
80,899.108,1.58831,1.70956,1.80799,0.56602,0.70435,0.67957,0.38969,1.54464,1.53516,1.66688,0.0002179,0.0002179,0.0002179
81,910.372,1.60339,1.70689,1.81706,0.50428,0.56415,0.61692,0.34376,1.48743,1.79785,1.66475,0.000208,0.000208,0.000208
82,921.637,1.58909,1.71393,1.80025,0.57452,0.82365,0.75797,0.40003,1.48561,1.44381,1.6109,0.0001981,0.0001981,0.0001981
83,932.698,1.58921,1.726,1.80579,0.54738,0.72176,0.67443,0.36947,1.67051,1.57715,1.75745,0.0001882,0.0001882,0.0001882
84,943.478,1.5877,1.68733,1.79257,0.58675,0.71875,0.67581,0.3873,1.624,1.53116,1.71606,0.0001783,0.0001783,0.0001783
85,954.732,1.60016,1.73239,1.81125,0.55828,0.75104,0.70188,0.38554,1.47362,1.36439,1.59335,0.0001684,0.0001684,0.0001684
86,965.891,1.60262,1.76426,1.82038,0.54094,0.71667,0.66849,0.38417,1.47522,1.37435,1.59275,0.0001585,0.0001585,0.0001585
87,977.092,1.60121,1.73231,1.81236,0.62849,0.63438,0.6571,0.34171,1.52233,1.60347,1.62669,0.0001486,0.0001486,0.0001486
88,988.22,1.56885,1.66767,1.77395,0.6328,0.63333,0.69172,0.40733,1.528,1.46238,1.63279,0.0001387,0.0001387,0.0001387
89,999.348,1.58836,1.72067,1.80436,0.75744,0.64997,0.73584,0.4235,1.41774,1.37997,1.57558,0.0001288,0.0001288,0.0001288
90,1010.67,1.59199,1.73388,1.80436,0.63615,0.65,0.71298,0.41199,1.44165,1.3336,1.57605,0.0001189,0.0001189,0.0001189
91,1022.98,1.55671,1.64492,1.79389,0.59418,0.60313,0.62341,0.36541,1.45851,1.56167,1.59223,0.000109,0.000109,0.000109
92,1034.38,1.52365,1.58675,1.78274,0.72808,0.51979,0.6703,0.37943,1.46395,1.49167,1.61985,9.91e-05,9.91e-05,9.91e-05
93,1045.59,1.52107,1.54659,1.77389,0.53375,0.63438,0.62998,0.37501,1.44242,1.49697,1.58,8.92e-05,8.92e-05,8.92e-05
94,1056.83,1.51651,1.54579,1.77263,0.57276,0.61979,0.5729,0.32079,1.59642,1.68337,1.68261,7.93e-05,7.93e-05,7.93e-05
95,1068.13,1.52211,1.50269,1.77058,0.45677,0.66797,0.55418,0.31981,1.60033,1.67068,1.67802,6.94e-05,6.94e-05,6.94e-05
96,1079.14,1.488,1.5098,1.76131,0.44589,0.66667,0.64398,0.36355,1.59867,1.58525,1.69272,5.95e-05,5.95e-05,5.95e-05
97,1089.59,1.50184,1.50535,1.75805,0.51512,0.69315,0.69471,0.41492,1.40132,1.34998,1.5453,4.96e-05,4.96e-05,4.96e-05
98,1100.63,1.49458,1.49805,1.75231,0.53776,0.68333,0.64118,0.36677,1.42122,1.43398,1.55351,3.97e-05,3.97e-05,3.97e-05
99,1111.99,1.50336,1.50896,1.766,0.58045,0.53111,0.57721,0.32061,1.61414,1.67734,1.69808,2.98e-05,2.98e-05,2.98e-05
100,1123.33,1.48532,1.48037,1.74565,0.60974,0.66771,0.69968,0.40972,1.43538,1.40389,1.56465,1.99e-05,1.99e-05,1.99e-05
